date,bank,tipo,buy,sell
2026-09-09,Scotiabank,Dólar (US) Canales Digitales*,56.1,59.9
2026-09-09,Scotiabank,Dólar (US) Sucursales,56.1,59.9
2026-09-09,Banreservas,,56.4,59.9
2026-09-09,Ademi,,57.2,59.7
2026-09-09,Quezada,,58.3,59.3
