date,bank,tipo,buy,sell
2026-04-03,Scotiabank,Dólar (US) Canales Digitales*,58.1,61.8
2026-04-03,Scotiabank,Dólar (US) Sucursales,58.1,61.8
2026-04-03,BLH,,58.4,61.8
2026-04-03,Ademi,,58.5,61.5
2026-04-03,Quezada,,60.1,61.5
