date,bank,tipo,buy,sell
2026-06-25,Scotiabank,Dólar (US) Canales Digitales*,56.75,60.5
2026-06-25,Scotiabank,Dólar (US) Sucursales,56.75,60.5
2026-06-25,Banreservas,,57.15,60.15
2026-06-25,Banco Popular,,56.25,60.5
2026-06-25,BHD,,56.8,60.5
2026-06-25,Banco Caribe,,57,60
2026-06-25,BDI,,58,60.25
2026-06-25,Vimenca,,58,60.25
2026-06-25,Banesco,,57,60.5
2026-06-25,Ademi,,57.3,60.25
2026-06-25,Quezada,,58.6,59.949999999999996
2026-06-25,Lafise,,56.75,60.25
2026-06-25,Promerica,,57,60.3
