date,time,entidad,compra,venta
2026-04-22,2026-04-22T13:26:46Z,Asociación Romana,58.6,
2026-04-22,2026-04-22T13:26:46Z,Moneycorps,59.25,60.2
2026-04-22,2026-04-22T13:26:46Z,Cambio Extranjero,,60.2
2026-04-22,2026-04-22T13:26:46Z,Taveras,59.5,60.3
2026-04-22,2026-04-22T13:26:46Z,SCT,59.4,60.3
2026-04-22,2026-04-22T13:26:46Z,RM,59.5,60.3
2026-04-22,2026-04-22T13:26:46Z,Panora Exchange,59.3,60.349999999999994
2026-04-22,2026-04-22T13:26:46Z,Gamelin,59.4,60.5
2026-04-22,2026-04-22T13:26:46Z,Bonanza Banco,59.2,61.2
2026-04-22,2026-04-22T13:26:46Z,Asociación Cibao de Ahorros y Préstamos,58.5,61.25
2026-04-22,2026-04-22T13:26:46Z,Motor Crédito,59.2,61.25
2026-04-22,2026-04-22T13:26:46Z,Banco Unión,58.5,61.5
2026-04-22,2026-04-22T13:26:46Z,Banreservas,58.5,61.5
2026-04-22,2026-04-22T13:26:46Z,Banco Caribe,58.5,61.5
2026-04-22,2026-04-22T13:26:46Z,Abonap,58.41,61.690000000000005
2026-04-22,2026-04-22T13:26:46Z,Banco BHD,58,61.7
2026-04-22,2026-04-22T13:26:46Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-22,2026-04-22T13:26:46Z,Banco Lafise,58.4,61.9
2026-04-22,2026-04-22T13:26:46Z,Banesco,58.3,61.9
2026-04-22,2026-04-22T13:26:46Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-22,2026-04-22T13:26:46Z,Asociación Popular de Ahorros y Préstamos,58.5,61.9
