date,time,entidad,compra,venta
2026-04-17,2026-04-17T13:18:36Z,Asociación Romana,59.1,
2026-04-17,2026-04-17T13:18:36Z,Moneycorps,60,60.8
2026-04-17,2026-04-17T13:18:36Z,RM,60.25,60.8
2026-04-17,2026-04-17T13:18:36Z,SCT,60,60.8
2026-04-17,2026-04-17T13:18:36Z,Gamelin,59.9,60.9
2026-04-17,2026-04-17T13:18:36Z,Cambio Extranjero,,60.9
2026-04-17,2026-04-17T13:18:36Z,Taveras,60.3,60.9
2026-04-17,2026-04-17T13:18:36Z,Panora Exchange,60.2,60.949999999999996
2026-04-17,2026-04-17T13:18:36Z,Motor Crédito,59.2,61.25
2026-04-17,2026-04-17T13:18:36Z,Asociación Duarte,58.4,61.4
2026-04-17,2026-04-17T13:18:36Z,Bonanza Banco,59.5,61.4
2026-04-17,2026-04-17T13:18:36Z,Banco Unión,58.5,61.5
2026-04-17,2026-04-17T13:18:36Z,Banreservas,58.5,61.5
2026-04-17,2026-04-17T13:18:36Z,Banco Caribe,59,61.5
2026-04-17,2026-04-17T13:18:36Z,Abonap,58.57,61.74
2026-04-17,2026-04-17T13:18:36Z,Asociación Cibao de Ahorros y Préstamos,59,61.8
2026-04-17,2026-04-17T13:18:36Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-17,2026-04-17T13:18:36Z,Banco BHD,58.4,61.9
2026-04-17,2026-04-17T13:18:36Z,Banco Lafise,58.4,61.9
2026-04-17,2026-04-17T13:18:36Z,Banesco,58.3,61.9
2026-04-17,2026-04-17T13:18:36Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-17,2026-04-17T13:18:36Z,Asociación Popular de Ahorros y Préstamos,58.5,61.9
