date,time,entidad,compra,venta
2026-05-06,2026-05-06T13:30:33Z,Asociación Romana,58.5,
2026-05-06,2026-05-06T13:30:33Z,Moneycorps,59.1,59.8
2026-05-06,2026-05-06T13:30:33Z,SCT,59.2,60
2026-05-06,2026-05-06T13:30:33Z,Gamelin,59,60
2026-05-06,2026-05-06T13:30:33Z,Panora Exchange,59.1,60
2026-05-06,2026-05-06T13:30:33Z,Taveras,59.25,60
2026-05-06,2026-05-06T13:30:33Z,RM,59.25,60
2026-05-06,2026-05-06T13:30:33Z,Cambio Extranjero,59.25,60
2026-05-06,2026-05-06T13:30:33Z,Motor Crédito,58.65,60.5
2026-05-06,2026-05-06T13:30:33Z,Banco Unión,58.1,60.9
2026-05-06,2026-05-06T13:30:33Z,Asociación Cibao de Ahorros y Préstamos,58.5,61
2026-05-06,2026-05-06T13:30:33Z,Bonanza Banco,58.7,61
2026-05-06,2026-05-06T13:30:33Z,Banreservas,58,61
2026-05-06,2026-05-06T13:30:33Z,Asociación Peravia de Ahorros y Préstamos,58,61.2
2026-05-06,2026-05-06T13:30:33Z,Banco Caribe,58.5,61.25
2026-05-06,2026-05-06T13:30:33Z,Abonap,58.120000000000005,61.290000000000006
2026-05-06,2026-05-06T13:30:33Z,Banco BHD,57.7,61.4
2026-05-06,2026-05-06T13:30:33Z,Banco Lafise,57.9,61.4
2026-05-06,2026-05-06T13:30:33Z,Asociación La Nacional de Ahorros y Préstamos,58,61.4
2026-05-06,2026-05-06T13:30:33Z,Banesco,58,61.4
2026-05-06,2026-05-06T13:30:33Z,Asociación Popular de Ahorros y Préstamos,58,61.4
