date,time,entidad,compra,venta
2026-09-25,2026-09-25T14:31:04Z,Cambio Extranjero,59.3,
2026-09-25,2026-09-25T14:31:04Z,Asociación Romana,58.3,
2026-09-25,2026-09-25T14:31:04Z,Taveras,59.3,59.8
2026-09-25,2026-09-25T14:31:04Z,Moneycorps,59.25,59.849999999999994
2026-09-25,2026-09-25T14:31:04Z,Gamelin,59.1,59.849999999999994
2026-09-25,2026-09-25T14:31:04Z,Panora Exchange,59.1,59.849999999999994
2026-09-25,2026-09-25T14:31:04Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-25,2026-09-25T14:31:04Z,RM,59.5,60
2026-09-25,2026-09-25T14:31:04Z,SCT,59.3,60
2026-09-25,2026-09-25T14:31:04Z,Banco BHD,56.2,60.1
2026-09-25,2026-09-25T14:31:04Z,Bonanza Banco,58.4,60.1
2026-09-25,2026-09-25T14:31:04Z,Banreservas,56.6,60.1
2026-09-25,2026-09-25T14:31:04Z,Banesco,57,60.15
2026-09-25,2026-09-25T14:31:04Z,Motor Crédito,58.5,60.15
2026-09-25,2026-09-25T14:31:04Z,Asociación La Nacional de Ahorros y Préstamos,58.25,60.25
2026-09-25,2026-09-25T14:31:04Z,Asociación Cibao de Ahorros y Préstamos,58.25,60.25
2026-09-25,2026-09-25T14:31:04Z,Banco Lafise,56.949999999999996,60.25
