date,time,entidad,compra,venta
2026-09-23,2026-09-23T14:11:23Z,Cambio Extranjero,59.3,
2026-09-23,2026-09-23T14:11:23Z,Asociación Romana,58.1,
2026-09-23,2026-09-23T14:11:23Z,Taveras,59.2,59.7
2026-09-23,2026-09-23T14:11:23Z,Panora Exchange,59.2,59.75
2026-09-23,2026-09-23T14:11:23Z,Moneycorps,59.15,59.75
2026-09-23,2026-09-23T14:11:23Z,Bonanza Banco,58.1,59.8
2026-09-23,2026-09-23T14:11:23Z,Gamelin,59.1,59.849999999999994
2026-09-23,2026-09-23T14:11:23Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-23,2026-09-23T14:11:23Z,SCT,59.2,60
2026-09-23,2026-09-23T14:11:23Z,RM,59.5,60
2026-09-23,2026-09-23T14:11:23Z,Banco BHD,56.2,60.1
2026-09-23,2026-09-23T14:11:23Z,Banreservas,56.6,60.1
2026-09-23,2026-09-23T14:11:23Z,Asociación La Nacional de Ahorros y Préstamos,58.15,60.15
2026-09-23,2026-09-23T14:11:23Z,Asociación Cibao de Ahorros y Préstamos,58.15,60.15
2026-09-23,2026-09-23T14:11:23Z,Banesco,57,60.15
2026-09-23,2026-09-23T14:11:23Z,Motor Crédito,58.5,60.15
2026-09-23,2026-09-23T14:11:23Z,Banco Lafise,57.949999999999996,60.25
