date,time,entidad,compra,venta
2026-06-19,2026-06-19T15:13:41Z,Cambio Extranjero,58.2,
2026-06-19,2026-06-19T15:13:41Z,Asociación Romana,57.65,
2026-06-19,2026-06-19T15:13:41Z,Moneycorps,58,58.75
2026-06-19,2026-06-19T15:13:41Z,RM,58.3,58.849999999999994
2026-06-19,2026-06-19T15:13:41Z,Panora Exchange,58.05,58.9
2026-06-19,2026-06-19T15:13:41Z,Gamelin,58.1,59
2026-06-19,2026-06-19T15:13:41Z,SCT,58,59
2026-06-19,2026-06-19T15:13:41Z,Taveras,58.5,59.2
2026-06-19,2026-06-19T15:13:41Z,Asociación Cibao de Ahorros y Préstamos,56.9,59.9
2026-06-19,2026-06-19T15:13:41Z,Banco BHD,56.15,59.9
2026-06-19,2026-06-19T15:13:41Z,Banreservas,56.9,59.9
2026-06-19,2026-06-19T15:13:41Z,Motor Crédito,57.949999999999996,59.9
2026-06-19,2026-06-19T15:13:41Z,Banco Lafise,56.56,60
2026-06-19,2026-06-19T15:13:41Z,Bonanza Banco,58,60
2026-06-19,2026-06-19T15:13:41Z,Banco Unión,58,60
2026-06-19,2026-06-19T15:13:41Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-06-19,2026-06-19T15:13:41Z,Banesco,57,60
2026-06-19,2026-06-19T15:13:41Z,Banco Caribe,57,60
2026-06-19,2026-06-19T15:13:41Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-06-19,2026-06-19T15:13:41Z,Abonap,56.92,60.05
2026-06-19,2026-06-19T15:13:41Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.55
