date,time,entidad,compra,venta
2026-05-29,2026-05-29T15:26:58Z,Cambio Extranjero,58.1,
2026-05-29,2026-05-29T15:26:58Z,Asociación Romana,57.3,
2026-05-29,2026-05-29T15:26:58Z,Gamelin,57.8,59
2026-05-29,2026-05-29T15:26:58Z,RM,58.1,59
2026-05-29,2026-05-29T15:26:58Z,Panora Exchange,58,59.1
2026-05-29,2026-05-29T15:26:58Z,Moneycorps,58,59.2
2026-05-29,2026-05-29T15:26:58Z,Taveras,58.5,59.3
2026-05-29,2026-05-29T15:26:58Z,SCT,58,59.3
2026-05-29,2026-05-29T15:26:58Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.5
2026-05-29,2026-05-29T15:26:58Z,Motor Crédito,57.849999999999994,59.75
2026-05-29,2026-05-29T15:26:58Z,Abonap,56.78,59.99
2026-05-29,2026-05-29T15:26:58Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-05-29,2026-05-29T15:26:58Z,Banco Lafise,56.5,60
2026-05-29,2026-05-29T15:26:58Z,Bonanza Banco,57.5,60
2026-05-29,2026-05-29T15:26:58Z,Banco Unión,57.5,60
2026-05-29,2026-05-29T15:26:58Z,Banreservas,56.5,60
2026-05-29,2026-05-29T15:26:58Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-05-29,2026-05-29T15:26:58Z,Banesco,57,60
2026-05-29,2026-05-29T15:26:58Z,Banco Caribe,57,60
2026-05-29,2026-05-29T15:26:58Z,Banco BHD,56.7,60.2
2026-05-29,2026-05-29T15:26:58Z,Asociación Peravia de Ahorros y Préstamos,57,60.5
