date,time,entidad,compra,venta
2026-09-15,2026-09-15T13:49:59Z,Cambio Extranjero,58.75,
2026-09-15,2026-09-15T13:49:59Z,Asociación Romana,57.949999999999996,
2026-09-15,2026-09-15T13:49:59Z,RM,58.8,59.3
2026-09-15,2026-09-15T13:49:59Z,Moneycorps,58.7,59.349999999999994
2026-09-15,2026-09-15T13:49:59Z,Panora Exchange,58.8,59.349999999999994
2026-09-15,2026-09-15T13:49:59Z,SCT,58.7,59.4
2026-09-15,2026-09-15T13:49:59Z,Taveras,59,59.5
2026-09-15,2026-09-15T13:49:59Z,Gamelin,58.75,59.5
2026-09-15,2026-09-15T13:49:59Z,Bonanza Banco,58.1,59.8
2026-09-15,2026-09-15T13:49:59Z,Motor Crédito,57.9,59.8
2026-09-15,2026-09-15T13:49:59Z,Banco BHD,56,59.9
2026-09-15,2026-09-15T13:49:59Z,Banreservas,56.4,59.9
2026-09-15,2026-09-15T13:49:59Z,Banco Lafise,56.6,59.9
2026-09-15,2026-09-15T13:49:59Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-15,2026-09-15T13:49:59Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-15,2026-09-15T13:49:59Z,Banesco,56.5,59.9
2026-09-15,2026-09-15T13:49:59Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
