date,time,entidad,compra,venta
2026-08-05,2026-08-05T11:55:37Z,Cambio Extranjero,58.05,
2026-08-05,2026-08-05T11:55:37Z,Asociación Romana,57.5,
2026-08-05,2026-08-05T11:55:37Z,Panora Exchange,58.05,58.6
2026-08-05,2026-08-05T11:55:37Z,RM,58.25,58.6
2026-08-05,2026-08-05T11:55:37Z,Taveras,58,58.6
2026-08-05,2026-08-05T11:55:37Z,Moneycorps,58,58.7
2026-08-05,2026-08-05T11:55:37Z,SCT,58.1,58.7
2026-08-05,2026-08-05T11:55:37Z,Gamelin,58,58.8
2026-08-05,2026-08-05T11:55:37Z,Banco Unión,57.5,59.5
2026-08-05,2026-08-05T11:55:37Z,Asociación Cibao de Ahorros y Préstamos,57.5,59.5
2026-08-05,2026-08-05T11:55:37Z,Motor Crédito,57.8,59.5
2026-08-05,2026-08-05T11:55:37Z,Banco BHD,56,59.8
2026-08-05,2026-08-05T11:55:37Z,Asociación La Nacional de Ahorros y Préstamos,57.5,59.8
2026-08-05,2026-08-05T11:55:37Z,Bonanza Banco,57.8,59.8
2026-08-05,2026-08-05T11:55:37Z,Banreservas,56.5,60
2026-08-05,2026-08-05T11:55:37Z,Banco Lafise,56.7,60
2026-08-05,2026-08-05T11:55:37Z,Banesco,56.8,60
