date,time,entidad,compra,venta
2026-09-09,2026-09-09T14:18:36Z,Cambio Extranjero,58.3,
2026-09-09,2026-09-09T14:18:36Z,Asociación Romana,57.8,
2026-09-09,2026-09-09T14:18:36Z,Moneycorps,58.349999999999994,59.05
2026-09-09,2026-09-09T14:18:36Z,RM,58.7,59.1
2026-09-09,2026-09-09T14:18:36Z,SCT,58.5,59.1
2026-09-09,2026-09-09T14:18:36Z,Taveras,58.5,59.15
2026-09-09,2026-09-09T14:18:36Z,Panora Exchange,58.55,59.2
2026-09-09,2026-09-09T14:18:36Z,Gamelin,58.5,59.3
2026-09-09,2026-09-09T14:18:36Z,Banco BHD,56,59.8
2026-09-09,2026-09-09T14:18:36Z,Bonanza Banco,58.1,59.8
2026-09-09,2026-09-09T14:18:36Z,Motor Crédito,57.9,59.8
2026-09-09,2026-09-09T14:18:36Z,Banreservas,56.4,59.9
2026-09-09,2026-09-09T14:18:36Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-09,2026-09-09T14:18:36Z,Banesco,56.5,59.9
2026-09-09,2026-09-09T14:18:36Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
2026-09-09,2026-09-09T14:18:36Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-09,2026-09-09T14:18:36Z,Banco Lafise,56.6,60
