date,time,entidad,compra,venta
2026-08-23,2026-08-23T12:20:36Z,Cambio Extranjero,58,
2026-08-23,2026-08-23T12:20:36Z,Asociación Romana,57.8,
2026-08-23,2026-08-23T12:20:36Z,Panora Exchange,57.849999999999994,58.55
2026-08-23,2026-08-23T12:20:36Z,RM,58.2,58.6
2026-08-23,2026-08-23T12:20:36Z,Moneycorps,57.849999999999994,58.8
2026-08-23,2026-08-23T12:20:36Z,SCT,58,58.8
2026-08-23,2026-08-23T12:20:36Z,Gamelin,58,59.15
2026-08-23,2026-08-23T12:20:36Z,Taveras,58.5,59.15
2026-08-23,2026-08-23T12:20:36Z,Banco Unión,57.5,59.7
2026-08-23,2026-08-23T12:20:36Z,Asociación La Nacional de Ahorros y Préstamos,56.7,59.7
2026-08-23,2026-08-23T12:20:36Z,Banco BHD,56,59.8
2026-08-23,2026-08-23T12:20:36Z,Bonanza Banco,57.8,59.8
2026-08-23,2026-08-23T12:20:36Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.8
2026-08-23,2026-08-23T12:20:36Z,Motor Crédito,57.9,59.8
2026-08-23,2026-08-23T12:20:36Z,Banreservas,56.4,59.9
2026-08-23,2026-08-23T12:20:36Z,Banesco,56.5,59.9
2026-08-23,2026-08-23T12:20:36Z,Banco Lafise,56.6,60
