date,time,entidad,compra,venta
2026-09-12,2026-09-12T13:55:54Z,Cambio Extranjero,58.5,
2026-09-12,2026-09-12T13:55:54Z,Asociación Romana,57.949999999999996,
2026-09-12,2026-09-12T13:55:54Z,Taveras,58.5,59.15
2026-09-12,2026-09-12T13:55:54Z,Moneycorps,58.7,59.449999999999996
2026-09-12,2026-09-12T13:55:54Z,SCT,58.8,59.5
2026-09-12,2026-09-12T13:55:54Z,Panora Exchange,58.9,59.5
2026-09-12,2026-09-12T13:55:54Z,RM,59,59.5
2026-09-12,2026-09-12T13:55:54Z,Gamelin,58.75,59.5
2026-09-12,2026-09-12T13:55:54Z,Bonanza Banco,58.1,59.8
2026-09-12,2026-09-12T13:55:54Z,Motor Crédito,57.9,59.8
2026-09-12,2026-09-12T13:55:54Z,Banco BHD,56,59.9
2026-09-12,2026-09-12T13:55:54Z,Banreservas,56.4,59.9
2026-09-12,2026-09-12T13:55:54Z,Asociación La Nacional de Ahorros y Préstamos,57,59.9
2026-09-12,2026-09-12T13:55:54Z,Banco Lafise,56.6,59.9
2026-09-12,2026-09-12T13:55:54Z,Banesco,56.5,59.9
2026-09-12,2026-09-12T13:55:54Z,Asociación Cibao de Ahorros y Préstamos,57.9,59.9
2026-09-12,2026-09-12T13:55:54Z,Asociación Peravia de Ahorros y Préstamos,56.2,59.9
