date,time,entidad,compra,venta
2026-03-23,2026-03-23T12:55:33Z,Capla,60.65,
2026-03-23,2026-03-23T12:55:33Z,Cambio Extranjero,60.6,
2026-03-23,2026-03-23T12:55:33Z,Asociación Romana,58.1,
2026-03-23,2026-03-23T12:55:33Z,Banco Unión,57.4,60.7
2026-03-23,2026-03-23T12:55:33Z,Asociación Peravia de Ahorros y Préstamos,58,60.9
2026-03-23,2026-03-23T12:55:33Z,RM,59.3,61
2026-03-23,2026-03-23T12:55:33Z,Gamelin,58.5,61
2026-03-23,2026-03-23T12:55:33Z,Bonanza Banco,59,61.2
2026-03-23,2026-03-23T12:55:33Z,Moneycorps,60.25,61.25
2026-03-23,2026-03-23T12:55:33Z,Banreservas,58.75,61.25
2026-03-23,2026-03-23T12:55:33Z,Banco Caribe,58.75,61.25
2026-03-23,2026-03-23T12:55:33Z,Motor Crédito,58.8,61.449999999999996
2026-03-23,2026-03-23T12:55:33Z,Asociación La Nacional de Ahorros y Préstamos,58.5,61.5
2026-03-23,2026-03-23T12:55:33Z,Panora Exchange,60.05,61.5
2026-03-23,2026-03-23T12:55:33Z,SCT,60,61.5
2026-03-23,2026-03-23T12:55:33Z,Asociación Cibao de Ahorros y Préstamos,58.75,61.5
2026-03-23,2026-03-23T12:55:33Z,Banco BHD,58.5,61.5
2026-03-23,2026-03-23T12:55:33Z,Banco Lafise,58,61.5
2026-03-23,2026-03-23T12:55:33Z,Banesco,58.5,61.5
2026-03-23,2026-03-23T12:55:33Z,Asociación Duarte,58.75,61.5
2026-03-23,2026-03-23T12:55:33Z,Asociación Popular de Ahorros y Préstamos,57.5,61.5
2026-03-23,2026-03-23T12:55:33Z,Abonap,58.5,61.51
2026-03-23,2026-03-23T12:55:33Z,Taveras,60.1,61.9
