date,time,entidad,compra,venta
2026-06-30,2026-06-30T12:07:59Z,Cambio Extranjero,59.1,
2026-06-30,2026-06-30T12:07:59Z,Asociación Romana,57.65,
2026-06-30,2026-06-30T12:07:59Z,Moneycorps,59.2,59.949999999999996
2026-06-30,2026-06-30T12:07:59Z,Panora Exchange,59,60
2026-06-30,2026-06-30T12:07:59Z,Abonap,57.01,60.14
2026-06-30,2026-06-30T12:07:59Z,Gamelin,59,60.2
2026-06-30,2026-06-30T12:07:59Z,SCT,59,60.3
2026-06-30,2026-06-30T12:07:59Z,Taveras,59.5,60.5
2026-06-30,2026-06-30T12:07:59Z,RM,59.5,60.5
2026-06-30,2026-06-30T12:07:59Z,Bonanza Banco,58.75,60.5
2026-06-30,2026-06-30T12:07:59Z,Motor Crédito,59.25,60.55
2026-06-30,2026-06-30T12:07:59Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.75
2026-06-30,2026-06-30T12:07:59Z,Banreservas,57.75,60.75
2026-06-30,2026-06-30T12:07:59Z,Banco Caribe,58.25,60.75
2026-06-30,2026-06-30T12:07:59Z,Banco Lafise,57.8,60.8
2026-06-30,2026-06-30T12:07:59Z,Asociación La Nacional de Ahorros y Préstamos,58.25,60.8
2026-06-30,2026-06-30T12:07:59Z,Asociación Popular de Ahorros y Préstamos,58,60.8
2026-06-30,2026-06-30T12:07:59Z,Banesco,57.5,60.849999999999994
2026-06-30,2026-06-30T12:07:59Z,Banco BHD,57.05,60.9
2026-06-30,2026-06-30T12:07:59Z,Banco Unión,58.5,60.9
2026-06-30,2026-06-30T12:07:59Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.9
