date,time,entidad,compra,venta
2026-04-20,2026-04-20T13:28:16Z,Cambio Extranjero,59.8,
2026-04-20,2026-04-20T13:28:16Z,Asociación Romana,59.1,
2026-04-20,2026-04-20T13:28:16Z,RM,59.7,60.4
2026-04-20,2026-04-20T13:28:16Z,Panora Exchange,59.55,60.5
2026-04-20,2026-04-20T13:28:16Z,Moneycorps,59.75,60.6
2026-04-20,2026-04-20T13:28:16Z,SCT,59.8,60.7
2026-04-20,2026-04-20T13:28:16Z,Taveras,60.3,60.9
2026-04-20,2026-04-20T13:28:16Z,Gamelin,59.9,60.9
2026-04-20,2026-04-20T13:28:16Z,Bonanza Banco,59.2,61.2
2026-04-20,2026-04-20T13:28:16Z,Motor Crédito,59.2,61.25
2026-04-20,2026-04-20T13:28:16Z,Asociación Cibao de Ahorros y Préstamos,59,61.5
2026-04-20,2026-04-20T13:28:16Z,Banreservas,58.5,61.5
2026-04-20,2026-04-20T13:28:16Z,Banco Unión,58.5,61.5
2026-04-20,2026-04-20T13:28:16Z,Banco Caribe,59,61.5
2026-04-20,2026-04-20T13:28:16Z,Abonap,58.6,61.71
2026-04-20,2026-04-20T13:28:16Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-20,2026-04-20T13:28:16Z,Banco BHD,58.4,61.9
2026-04-20,2026-04-20T13:28:16Z,Banco Lafise,58.4,61.9
2026-04-20,2026-04-20T13:28:16Z,Banesco,58.3,61.9
2026-04-20,2026-04-20T13:28:16Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-20,2026-04-20T13:28:16Z,Asociación Popular de Ahorros y Préstamos,58.5,61.9
