date,time,entidad,compra,venta
2026-05-13,2026-05-13T13:52:23Z,Cambio Extranjero,59.15,
2026-05-13,2026-05-13T13:52:23Z,Asociación Romana,58.5,
2026-05-13,2026-05-13T13:52:23Z,RM,59,59.7
2026-05-13,2026-05-13T13:52:23Z,Moneycorps,59.05,59.75
2026-05-13,2026-05-13T13:52:23Z,Panora Exchange,59.2,59.75
2026-05-13,2026-05-13T13:52:23Z,SCT,59,59.9
2026-05-13,2026-05-13T13:52:23Z,Taveras,59.25,60
2026-05-13,2026-05-13T13:52:23Z,Gamelin,59,60
2026-05-13,2026-05-13T13:52:23Z,Motor Crédito,58.65,60.5
2026-05-13,2026-05-13T13:52:23Z,Abonap,57.730000000000004,60.790000000000006
2026-05-13,2026-05-13T13:52:23Z,Banco BHD,57.1,60.8
2026-05-13,2026-05-13T13:52:23Z,Asociación Cibao de Ahorros y Préstamos,58.5,60.8
2026-05-13,2026-05-13T13:52:23Z,Bonanza Banco,58.5,60.8
2026-05-13,2026-05-13T13:52:23Z,Banreservas,57.8,60.8
2026-05-13,2026-05-13T13:52:23Z,Banco Caribe,58,60.8
2026-05-13,2026-05-13T13:52:23Z,Asociación Popular de Ahorros y Préstamos,57.75,60.8
2026-05-13,2026-05-13T13:52:23Z,Asociación Peravia de Ahorros y Préstamos,58,61
2026-05-13,2026-05-13T13:52:23Z,Banco Lafise,57.5,61
2026-05-13,2026-05-13T13:52:23Z,Banco Unión,58.5,61
2026-05-13,2026-05-13T13:52:23Z,Asociación La Nacional de Ahorros y Préstamos,58,61
2026-05-13,2026-05-13T13:52:23Z,Banesco,58,61
