date,time,entidad,compra,venta
2026-08-25,2026-08-25T12:29:01Z,Cambio Extranjero,58.1,
2026-08-25,2026-08-25T12:29:01Z,Asociación Romana,57.3,
2026-08-25,2026-08-25T12:29:01Z,Panora Exchange,57.849999999999994,58.4
2026-08-25,2026-08-25T12:29:01Z,RM,58,58.5
2026-08-25,2026-08-25T12:29:01Z,Moneycorps,57.849999999999994,58.55
2026-08-25,2026-08-25T12:29:01Z,Gamelin,57.8,58.6
2026-08-25,2026-08-25T12:29:01Z,SCT,58,58.8
2026-08-25,2026-08-25T12:29:01Z,Taveras,58.5,59.15
2026-08-25,2026-08-25T12:29:01Z,Banco Unión,57.75,59.5
2026-08-25,2026-08-25T12:29:01Z,Asociación La Nacional de Ahorros y Préstamos,56.7,59.7
2026-08-25,2026-08-25T12:29:01Z,Banco BHD,56,59.8
2026-08-25,2026-08-25T12:29:01Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.8
2026-08-25,2026-08-25T12:29:01Z,Bonanza Banco,57.8,59.8
2026-08-25,2026-08-25T12:29:01Z,Motor Crédito,57.9,59.8
2026-08-25,2026-08-25T12:29:01Z,Banreservas,56.4,59.9
2026-08-25,2026-08-25T12:29:01Z,Banesco,56.5,59.9
2026-08-25,2026-08-25T12:29:01Z,Banco Lafise,56.6,60
2026-08-25,2026-08-25T12:29:01Z,Asociación Peravia de Ahorros y Préstamos,56.120000000000005,60.25
