date,time,entidad,compra,venta
2026-05-12,2026-05-12T13:49:50Z,Asociación Romana,58.1,
2026-05-12,2026-05-12T13:49:50Z,Moneycorps,58.7,59.5
2026-05-12,2026-05-12T13:49:50Z,Panora Exchange,58.8,59.6
2026-05-12,2026-05-12T13:49:50Z,Cambio Extranjero,58.8,59.65
2026-05-12,2026-05-12T13:49:50Z,Gamelin,58.849999999999994,59.7
2026-05-12,2026-05-12T13:49:50Z,SCT,58.8,59.7
2026-05-12,2026-05-12T13:49:50Z,RM,59,59.7
2026-05-12,2026-05-12T13:49:50Z,Taveras,59.25,60
2026-05-12,2026-05-12T13:49:50Z,Motor Crédito,58.65,60.5
2026-05-12,2026-05-12T13:49:50Z,Asociación Cibao de Ahorros y Préstamos,57.8,60.8
2026-05-12,2026-05-12T13:49:50Z,Banco BHD,57.1,60.8
2026-05-12,2026-05-12T13:49:50Z,Bonanza Banco,58.5,60.8
2026-05-12,2026-05-12T13:49:50Z,Banco Unión,58.1,60.8
2026-05-12,2026-05-12T13:49:50Z,Banreservas,57.8,60.8
2026-05-12,2026-05-12T13:49:50Z,Banco Caribe,58,60.8
2026-05-12,2026-05-12T13:49:50Z,Asociación Popular de Ahorros y Préstamos,57.75,60.8
2026-05-12,2026-05-12T13:49:50Z,Abonap,57.8,60.82
2026-05-12,2026-05-12T13:49:50Z,Banco Lafise,57.5,61
2026-05-12,2026-05-12T13:49:50Z,Asociación La Nacional de Ahorros y Préstamos,58,61
2026-05-12,2026-05-12T13:49:50Z,Banesco,58,61
2026-05-12,2026-05-12T13:49:50Z,Asociación Peravia de Ahorros y Préstamos,58,61
