date,time,entidad,compra,venta
2026-04-19,2026-04-19T13:00:54Z,Asociación Romana,59.1,
2026-04-19,2026-04-19T13:00:54Z,Panora Exchange,59.55,60.5
2026-04-19,2026-04-19T13:00:54Z,Moneycorps,59.75,60.6
2026-04-19,2026-04-19T13:00:54Z,Cambio Extranjero,59.8,60.6
2026-04-19,2026-04-19T13:00:54Z,SCT,59.8,60.7
2026-04-19,2026-04-19T13:00:54Z,RM,60.25,60.8
2026-04-19,2026-04-19T13:00:54Z,Gamelin,59.9,60.9
2026-04-19,2026-04-19T13:00:54Z,Taveras,60.3,60.9
2026-04-19,2026-04-19T13:00:54Z,Bonanza Banco,59.2,61.2
2026-04-19,2026-04-19T13:00:54Z,Motor Crédito,59.2,61.25
2026-04-19,2026-04-19T13:00:54Z,Asociación Cibao de Ahorros y Préstamos,59,61.5
2026-04-19,2026-04-19T13:00:54Z,Banco Unión,58.5,61.5
2026-04-19,2026-04-19T13:00:54Z,Banreservas,58.5,61.5
2026-04-19,2026-04-19T13:00:54Z,Banco Caribe,59,61.5
2026-04-19,2026-04-19T13:00:54Z,Abonap,58.57,61.74
2026-04-19,2026-04-19T13:00:54Z,Asociación La Nacional de Ahorros y Préstamos,58.3,61.8
2026-04-19,2026-04-19T13:00:54Z,Banco BHD,58.4,61.9
2026-04-19,2026-04-19T13:00:54Z,Banco Lafise,58.4,61.9
2026-04-19,2026-04-19T13:00:54Z,Banesco,58.3,61.9
2026-04-19,2026-04-19T13:00:54Z,Asociación Peravia de Ahorros y Préstamos,58.4,61.9
2026-04-19,2026-04-19T13:00:54Z,Asociación Popular de Ahorros y Préstamos,58.5,61.9
