date,time,entidad,compra,venta
2026-06-18,2026-06-18T15:23:28Z,Cambio Extranjero,58.1,
2026-06-18,2026-06-18T15:23:28Z,Asociación Romana,57.65,
2026-06-18,2026-06-18T15:23:28Z,RM,58.3,58.849999999999994
2026-06-18,2026-06-18T15:23:28Z,Moneycorps,58.25,58.949999999999996
2026-06-18,2026-06-18T15:23:28Z,Panora Exchange,58.2,59
2026-06-18,2026-06-18T15:23:28Z,Taveras,58.5,59.2
2026-06-18,2026-06-18T15:23:28Z,SCT,58.3,59.2
2026-06-18,2026-06-18T15:23:28Z,Gamelin,58.3,59.2
2026-06-18,2026-06-18T15:23:28Z,Motor Crédito,58.25,59.9
2026-06-18,2026-06-18T15:23:28Z,Banreservas,56.9,59.9
2026-06-18,2026-06-18T15:23:28Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-06-18,2026-06-18T15:23:28Z,Asociación Cibao de Ahorros y Préstamos,57,60
2026-06-18,2026-06-18T15:23:28Z,Banco BHD,56.25,60
2026-06-18,2026-06-18T15:23:28Z,Banco Lafise,56.56,60
2026-06-18,2026-06-18T15:23:28Z,Bonanza Banco,58,60
2026-06-18,2026-06-18T15:23:28Z,Banco Unión,58,60
2026-06-18,2026-06-18T15:23:28Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-06-18,2026-06-18T15:23:28Z,Banesco,57,60
2026-06-18,2026-06-18T15:23:28Z,Banco Caribe,57,60
2026-06-18,2026-06-18T15:23:28Z,Abonap,56.92,60.05
2026-06-18,2026-06-18T15:23:28Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.55
