date,time,entidad,compra,venta
2026-05-28,2026-05-28T14:21:18Z,Cambio Extranjero,58.1,
2026-05-28,2026-05-28T14:21:18Z,Asociación Romana,57.3,
2026-05-28,2026-05-28T14:21:18Z,Moneycorps,58,59
2026-05-28,2026-05-28T14:21:18Z,RM,58.1,59
2026-05-28,2026-05-28T14:21:18Z,Panora Exchange,58,59.3
2026-05-28,2026-05-28T14:21:18Z,SCT,58,59.3
2026-05-28,2026-05-28T14:21:18Z,Taveras,58.5,59.3
2026-05-28,2026-05-28T14:21:18Z,Gamelin,58.1,59.4
2026-05-28,2026-05-28T14:21:18Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.5
2026-05-28,2026-05-28T14:21:18Z,Motor Crédito,57.849999999999994,59.75
2026-05-28,2026-05-28T14:21:18Z,Banco Lafise,56.5,60
2026-05-28,2026-05-28T14:21:18Z,Bonanza Banco,57.5,60
2026-05-28,2026-05-28T14:21:18Z,Banco Unión,57.5,60
2026-05-28,2026-05-28T14:21:18Z,Banreservas,57,60
2026-05-28,2026-05-28T14:21:18Z,Banesco,57,60
2026-05-28,2026-05-28T14:21:18Z,Banco Caribe,57,60
2026-05-28,2026-05-28T14:21:18Z,Asociación La Nacional de Ahorros y Préstamos,57,60
2026-05-28,2026-05-28T14:21:18Z,Asociación Popular de Ahorros y Préstamos,57,60
2026-05-28,2026-05-28T14:21:18Z,Abonap,56.78,60.05
2026-05-28,2026-05-28T14:21:18Z,Banco BHD,56.7,60.2
2026-05-28,2026-05-28T14:21:18Z,Asociación Peravia de Ahorros y Préstamos,57,60.5
